group,line,score,mapping_start,holdout_corr,holdout_nmse,holdout_phase_rmse,fwhm_dft_profile_um,fwhm_normalized_dft_profile_um,fwhm_rfiaa_profile_um,fwhm_rfiaa_map_profile_um,fwhm_miaa_profile_um
1,3.5,4423.415283203125,449.0,0.16777557590875952,0.9718486209056054,1.6425892345877,8.115771834598881,3.6125108789906815,2.078666501687465,1.323242274860224,1.7024305480012774
2,11.5,15672.97216796875,449.0,0.6239880570505288,0.6106388865910483,1.0886418486801501,7.881650824935494,3.884167179872371,1.9519276343084981,1.2563857176136102,1.6949839687907562
3,19.5,58401.748046875,449.0,0.9115123520630837,0.16897841245543838,0.36940716602643653,7.478948650699509,3.9099704385564786,1.201956303147626,1.0838520835715535,1.4216244569724878
