super,line,rfiaa_fwhm_um,map_fwhm_um,miaa_fwhm_um
2,0,3.582021661777949,3.3372636931210606,3.4233120884557575
2,1,4.039997607215448,4.037251036556887,3.8995871509365414
2,2,2.0505318931107914,2.030345673973123,2.266002809649322
2,3,4.021803609432833,3.840018150662514,3.5941939925934374
3,0,2.101469263831325,1.8626451745584918,2.6421208971403476
3,1,1.6143085359585,1.4410721344286175,1.7489128623014667
3,2,1.4223826387043232,1.3609883567519434,1.5318182121664679
3,3,2.7236483578114843,2.4255349721260018,3.033454424158697
4,0,1.318196167407887,1.115596567243226,1.4442310468794546
4,1,1.239094322801907,1.0621587314250405,1.2252254535605787
4,2,1.1805796038134424,1.0501695743385497,1.2038621482188703
4,3,2.941462874669335,2.8851674161785077,2.6802543293314924
6,0,1.200409892922889,0.8453940688743331,0.9095890308936078
6,1,1.5912459076386256,1.3021250971628036,1.3735172193608833
6,2,1.1199196601708197,0.8446425471154613,0.9149643919416094
6,3,2.858944297291541,2.703885812198962,2.814152943858025
8,0,1.3738808615361222,1.1097205594055033,1.1423773058036495
8,1,1.249153792729483,0.8186611716319205,0.8439601487876707
8,2,1.2150485562155169,0.8324585398331457,0.8203576176258678
8,3,2.7960446034589572,2.8279851352089516,2.785756264119351
