line,comparison,region,position_class,side_of_strong_line,corr,nmse,phase_rmse_rad,amplitude_nrmse
9,author_L4_forward_vs_independent,input_128,interior,before,0.9999664174275563,6.716401709801397e-05,0.010574987383984092,0.006321245481167785
9,author_L4_forward_vs_independent,embedded_200,interior,before,0.9957767021273668,0.008935260973700695,0.14906185366073335,0.06498884834360717
9,author_L4_forward_vs_independent,heldout_72,interior,before,0.9840950515859184,0.04186377068772091,0.24803597850325493,0.14056253269545319
9,author_L4_forward_vs_independent,extrapolated_outside_200,interior,before,0.9229538640654361,0.49287255771016364,0.33881639897599847,0.6508943813691878
9,author_L4_forward_vs_independent,full_K,interior,before,0.9498811495621301,0.15137786273947726,0.3027412644742879,0.35732609112533353
9,author_L4_reverse_vs_independent,input_128,interior,before,0.99997112175308,5.775565988646181e-05,0.008197206816184455,0.005882369298724007
9,author_L4_reverse_vs_independent,embedded_200,interior,before,0.9967710123260316,0.006532698575561834,0.12568723572420135,0.05790027573452506
9,author_L4_reverse_vs_independent,heldout_72,interior,before,0.9866198124772559,0.028177957396680612,0.20919340424230956,0.1201820966104299
9,author_L4_reverse_vs_independent,extrapolated_outside_200,interior,before,0.9307604759882776,0.23413711025188635,0.3118088679074766,0.39644911296335267
9,author_L4_reverse_vs_independent,full_K,interior,before,0.9630469893223943,0.09123540307805982,0.2772506048420893,0.24616288415420912
10,wrapper_individual_vs_direct_independent,input_128,interior,before,1.0000000000000002,0.0,1.7316231025890377e-17,0.0
10,wrapper_individual_vs_direct_independent,embedded_200,interior,before,1.0000000000000002,0.0,1.6381681836815357e-17,0.0
10,wrapper_individual_vs_direct_independent,heldout_72,interior,before,1.0000000000000002,0.0,1.4573026010765453e-17,0.0
10,wrapper_individual_vs_direct_independent,extrapolated_outside_200,interior,before,1.0000000000000002,0.0,1.706125629383923e-17,0.0
10,wrapper_individual_vs_direct_independent,full_K,interior,before,1.0000000000000002,0.0,1.6893925674446218e-17,0.0
10,whole_forward_vs_reverse,input_128,interior,before,0.9999939710355398,1.2057892572175836e-05,0.00445795503867693,0.002403318752613698
10,whole_forward_vs_reverse,embedded_200,interior,before,0.9919997004339904,0.017511937829872162,0.21161041054878946,0.104596184910095
10,whole_forward_vs_reverse,heldout_72,interior,before,0.9746844220009517,0.07342020340786733,0.35263392609611627,0.2141820671546456
10,whole_forward_vs_reverse,extrapolated_outside_200,interior,before,0.8686171105001791,0.3993844168394924,0.9651045788671226,0.3928939398167539
10,whole_forward_vs_reverse,full_K,interior,before,0.9451860529579488,0.13202750744592012,0.8424754462747693,0.23227269631271602
10,whole_forward_vs_independent,input_128,interior,before,0.999968675473197,6.264807237977283e-05,0.011229084982666006,0.0054905668092843545
10,whole_forward_vs_independent,embedded_200,interior,before,0.9921496662007336,0.01671778594371209,0.17634959665128724,0.09838977067135249
10,whole_forward_vs_independent,heldout_72,interior,before,0.9729026588787054,0.06992728650513359,0.29353440615748105,0.20127457238828397
10,whole_forward_vs_independent,extrapolated_outside_200,interior,before,0.9597500583384236,0.17603542768012967,0.5114084607547097,0.3603254633876134
10,whole_forward_vs_independent,full_K,interior,before,0.9757428661241274,0.0644938145819835,0.4515847155943102,0.213804084035359
10,whole_reverse_vs_independent,input_128,interior,before,0.9999622862859648,7.542600574596428e-05,0.012398556058278892,0.00592632958123349
10,whole_reverse_vs_independent,embedded_200,interior,before,0.9891341194788317,0.02174465468491701,0.24208456404471837,0.09987783847947113
10,whole_reverse_vs_independent,heldout_72,interior,before,0.9616571328398692,0.07690526468814234,0.40313546339781636,0.18782905886752646
10,whole_reverse_vs_independent,extrapolated_outside_200,interior,before,0.889176447246209,0.22396736542384163,0.886003528872731,0.25141787879993366
10,whole_reverse_vs_independent,full_K,interior,before,0.9497042794800228,0.10080405795257896,0.7767901414914968,0.17546527803146633
10,author_L4_forward_vs_reverse,input_128,interior,before,0.9999907196638698,1.8560586135789026e-05,0.005465630248161189,0.0030152772326735946
10,author_L4_forward_vs_reverse,embedded_200,interior,before,0.9891979336474046,0.024012010658140067,0.25869436393857337,0.11999605648892989
10,author_L4_forward_vs_reverse,heldout_72,interior,before,0.967223570873234,0.10066580391638966,0.43109568137678395,0.24570676555419244
10,author_L4_forward_vs_reverse,extrapolated_outside_200,interior,before,0.7860685007331035,0.7272444849357551,1.1780231853725394,0.5194368111537326
10,author_L4_forward_vs_reverse,full_K,interior,before,0.9074358264495407,0.23489672163092304,1.0283650433770315,0.3016501851161863
10,author_L4_forward_vs_independent,input_128,interior,before,0.999968675473197,6.264807237977283e-05,0.011229084982666006,0.0054905668092843545
10,author_L4_forward_vs_independent,embedded_200,interior,before,0.9921496662007336,0.01671778594371209,0.17634959665128724,0.09838977067135249
10,author_L4_forward_vs_independent,heldout_72,interior,before,0.9729026588787054,0.06992728650513359,0.29353440615748105,0.20127457238828397
10,author_L4_forward_vs_independent,extrapolated_outside_200,interior,before,0.9597500583384236,0.17603542768012967,0.5114084607547097,0.3603254633876134
10,author_L4_forward_vs_independent,full_K,interior,before,0.9757428661241274,0.0644938145819835,0.4515847155943102,0.213804084035359
10,author_L4_reverse_vs_independent,input_128,interior,before,0.9999532502170281,9.349738040127427e-05,0.013592806771141216,0.00658256129988426
10,author_L4_reverse_vs_independent,embedded_200,interior,before,0.9862065880702658,0.027546170450562648,0.2812646708311587,0.10901098151300463
10,author_L4_reverse_vs_independent,heldout_72,interior,before,0.9528681797637759,0.0939025548309975,0.46842397060181373,0.2012516846668475
10,author_L4_reverse_vs_independent,extrapolated_outside_200,interior,before,0.8026078156896502,0.3712829893809255,1.1077655255018646,0.27722683629700373
10,author_L4_reverse_vs_independent,full_K,interior,before,0.9099199905538483,0.1749216561669763,0.9696060016224408,0.19934776865721696
11,wrapper_individual_vs_direct_independent,input_128,interior,before,0.9999999999999998,0.0,1.8103621428479973e-17,0.0
11,wrapper_individual_vs_direct_independent,embedded_200,interior,before,1.0,0.0,1.7892490942252645e-17,0.0
11,wrapper_individual_vs_direct_independent,heldout_72,interior,before,1.0,0.0,1.7510863490839417e-17,0.0
11,wrapper_individual_vs_direct_independent,extrapolated_outside_200,interior,before,1.0,0.0,1.6212641056265436e-17,0.0
11,wrapper_individual_vs_direct_independent,full_K,interior,before,1.0,0.0,1.664850160056832e-17,0.0
11,whole_forward_vs_reverse,input_128,interior,before,0.9999959821295966,8.035724663080338e-06,0.0027110269698668557,0.0020994231468007708
11,whole_forward_vs_reverse,embedded_200,interior,before,0.9986574966942982,0.0026995110343011777,0.08337164174455285,0.03384374087522979
11,whole_forward_vs_reverse,heldout_72,interior,before,0.9953380304374462,0.009502441226422745,0.13890571202711977,0.06347716169569491
11,whole_forward_vs_reverse,extrapolated_outside_200,interior,before,0.9920265717967697,0.017291960492862756,0.3861024728177629,0.0862310116531192
11,whole_forward_vs_reverse,full_K,interior,before,0.9955735591873538,0.00920092358236678,0.33696297615433807,0.06283289132110191
11,whole_forward_vs_independent,input_128,interior,before,0.9999782739270795,4.345167381912582e-05,0.006073813848133484,0.005048232107888753
11,whole_forward_vs_independent,embedded_200,interior,before,0.9967430775221573,0.0069803975503792155,0.09732580654747919,0.05816930996739065
11,whole_forward_vs_independent,heldout_72,interior,before,0.9904237120017187,0.024514111634908325,0.16200739217302712,0.10895761117866973
11,whole_forward_vs_independent,extrapolated_outside_200,interior,before,0.9742300842038886,0.15609181816928486,0.2661682721471778,0.37591247868248
11,whole_forward_vs_independent,full_K,interior,before,0.9781060585381566,0.0734144026037845,0.2355891338291941,0.2546260723130301
11,whole_reverse_vs_independent,input_128,interior,before,0.9999776915160657,4.4616470200056124e-05,0.006614400447678772,0.004872079999226114
11,whole_reverse_vs_independent,embedded_200,interior,before,0.9966824773338226,0.006990152502115675,0.12353223785009301,0.062253529611757875
11,whole_reverse_vs_independent,heldout_72,interior,before,0.9899025915828077,0.02422168229538358,0.20569809052583804,0.1158945166955044
11,whole_reverse_vs_independent,extrapolated_outside_200,interior,before,0.9768003483128139,0.1269916084879471,0.33678473729799857,0.3357576174281981
11,whole_reverse_vs_independent,full_K,interior,before,0.9807152853186336,0.061998243839865595,0.29813255928315585,0.23189510108412442
11,author_L4_forward_vs_reverse,input_128,interior,before,0.9999782739270795,4.345167381912582e-05,0.006073813848133484,0.005048232107888753
11,author_L4_forward_vs_reverse,embedded_200,interior,before,0.9967430775221573,0.0069803975503792155,0.09732580654747919,0.05816930996739065
11,author_L4_forward_vs_reverse,heldout_72,interior,before,0.9904237120017187,0.024514111634908325,0.16200739217302712,0.10895761117866973
11,author_L4_forward_vs_reverse,extrapolated_outside_200,interior,before,0.9742300842038886,0.15609181816928486,0.2661682721471778,0.37591247868248
11,author_L4_forward_vs_reverse,full_K,interior,before,0.9781060585381566,0.0734144026037845,0.2355891338291941,0.2546260723130301
11,author_L4_forward_vs_independent,input_128,interior,before,0.9999782739270795,4.345167381912582e-05,0.006073813848133484,0.005048232107888753
11,author_L4_forward_vs_independent,embedded_200,interior,before,0.9967430775221573,0.0069803975503792155,0.09732580654747919,0.05816930996739065
11,author_L4_forward_vs_independent,heldout_72,interior,before,0.9904237120017187,0.024514111634908325,0.16200739217302712,0.10895761117866973
11,author_L4_forward_vs_independent,extrapolated_outside_200,interior,before,0.9742300842038886,0.15609181816928486,0.2661682721471778,0.37591247868248
11,author_L4_forward_vs_independent,full_K,interior,before,0.9781060585381566,0.0734144026037845,0.2355891338291941,0.2546260723130301
11,author_L4_reverse_vs_independent,input_128,interior,before,0.9999999999999998,0.0,1.8103621428479973e-17,0.0
11,author_L4_reverse_vs_independent,embedded_200,interior,before,1.0,0.0,1.7892490942252645e-17,0.0
11,author_L4_reverse_vs_independent,heldout_72,interior,before,1.0,0.0,1.7510863490839417e-17,0.0
11,author_L4_reverse_vs_independent,extrapolated_outside_200,interior,before,1.0,0.0,1.6212641056265436e-17,0.0
11,author_L4_reverse_vs_independent,full_K,interior,before,1.0,0.0,1.664850160056832e-17,0.0
12,wrapper_individual_vs_direct_independent,input_128,interior,before,1.0000000000000002,0.0,1.6757822007220078e-17,0.0
12,wrapper_individual_vs_direct_independent,embedded_200,interior,before,1.0000000000000002,0.0,1.696033386823514e-17,0.0
12,wrapper_individual_vs_direct_independent,heldout_72,interior,before,1.0,0.0,1.731450755946002e-17,0.0
12,wrapper_individual_vs_direct_independent,extrapolated_outside_200,interior,before,1.0,0.0,1.6516246564160157e-17,0.0
12,wrapper_individual_vs_direct_independent,full_K,interior,before,1.0,0.0,1.6628380307672785e-17,0.0
12,whole_forward_vs_reverse,input_128,interior,before,0.999996636041013,6.72790665817246e-06,0.005797741644616262,0.0017117479826013707
12,whole_forward_vs_reverse,embedded_200,interior,before,0.9970109603940259,0.005998933011579474,0.12442228162294179,0.054519006140827865
12,whole_forward_vs_reverse,heldout_72,interior,before,0.9880164508342534,0.024331576123737597,0.2072263344417892,0.10980402890119388
12,whole_forward_vs_reverse,extrapolated_outside_200,interior,before,0.9372526198668873,0.12532057279309364,0.8121054501888856,0.22920942350919019
12,whole_forward_vs_reverse,full_K,interior,before,0.9785072806628036,0.04296112786843779,0.7060500497209344,0.13537330243303558
12,whole_forward_vs_independent,input_128,interior,before,0.9999769434037263,4.6112660940788544e-05,0.010306012955880255,0.005028930064135593
12,whole_forward_vs_independent,embedded_200,interior,before,0.9952083524271416,0.009943796480618217,0.12491251790061188,0.07241889443638791
12,whole_forward_vs_independent,heldout_72,interior,before,0.9827020279998002,0.04022492036172599,0.20773353812517148,0.1456441369097951
12,whole_forward_vs_independent,extrapolated_outside_200,interior,before,0.9335466529978846,0.1657625222869569,0.7260884900614906,0.2800613199871178
12,whole_forward_vs_independent,full_K,interior,before,0.9734557232719716,0.05821167241785068,0.6319051794627887,0.1670822325948741
12,whole_reverse_vs_independent,input_128,interior,before,0.9999795075104689,4.0984559119753574e-05,0.011360767377861812,0.004774687933034043
12,whole_reverse_vs_independent,embedded_200,interior,before,0.9940940794931351,0.012304215373409018,0.15785821457846425,0.08543625387778826
12,whole_reverse_vs_independent,heldout_72,interior,before,0.9781969260568597,0.05156772444789526,0.2626606017025878,0.1749196784979764
12,whole_reverse_vs_independent,extrapolated_outside_200,interior,before,0.9394663395567346,0.15864799364250856,0.8205014122712694,0.2954528983445331
12,whole_reverse_vs_independent,full_K,interior,before,0.97501437966074,0.05588432279065663,0.7149452633816352,0.1764106076817978
12,author_L4_forward_vs_reverse,input_128,interior,before,0.9999795074990724,4.098458191275881e-05,0.011360779909898743,0.00477468859856931
12,author_L4_forward_vs_reverse,embedded_200,interior,before,0.9940940679581786,0.01190861262692485,0.15785863593997662,0.08405476165681305
12,author_L4_forward_vs_reverse,heldout_72,interior,before,0.9781968762321743,0.04523714845304407,0.2626613041749929,0.16383769687599323
12,author_L4_forward_vs_reverse,extrapolated_outside_200,interior,before,0.9394659562271666,0.12232115621952232,0.8205024161530262,0.25943896540345673
12,author_L4_forward_vs_reverse,full_K,interior,before,0.9750142494261231,0.05026551786896129,0.7149461507134105,0.16731265942695595
12,author_L4_forward_vs_independent,input_128,interior,before,1.0000000000000002,0.0,1.6757822007220078e-17,0.0
12,author_L4_forward_vs_independent,embedded_200,interior,before,1.0000000000000002,0.0,1.696033386823514e-17,0.0
12,author_L4_forward_vs_independent,heldout_72,interior,before,1.0,0.0,1.731450755946002e-17,0.0
12,author_L4_forward_vs_independent,extrapolated_outside_200,interior,before,1.0,0.0,1.6516246564160157e-17,0.0
12,author_L4_forward_vs_independent,full_K,interior,before,1.0,0.0,1.6628380307672785e-17,0.0
12,author_L4_reverse_vs_independent,input_128,interior,before,0.9999795074990724,4.0984581912758843e-05,0.011360779909898736,0.00477468859856932
12,author_L4_reverse_vs_independent,embedded_200,interior,before,0.9940940679581787,0.01230423748877939,0.15785863593997662,0.08543632496410461
12,author_L4_reverse_vs_independent,heldout_72,interior,before,0.9781968762321741,0.05156780717268962,0.2626613041749929,0.17491980715408156
12,author_L4_reverse_vs_independent,extrapolated_outside_200,interior,before,0.9394659562271664,0.1586487376526991,0.8205024161530262,0.2954534761097611
12,author_L4_reverse_vs_independent,full_K,interior,before,0.975014249426123,0.05588458019708758,0.7149461507134105,0.1764109514885315
13,wrapper_individual_vs_direct_independent,input_128,interior,before,1.0000000000000002,0.0,1.5396402077768612e-17,0.0
13,wrapper_individual_vs_direct_independent,embedded_200,interior,before,0.9999999999999998,0.0,1.569203434871108e-17,0.0
13,wrapper_individual_vs_direct_independent,heldout_72,interior,before,1.0000000000000002,0.0,1.6204290923439347e-17,0.0
13,wrapper_individual_vs_direct_independent,extrapolated_outside_200,interior,before,1.0,0.0,1.592063752108087e-17,0.0
13,wrapper_individual_vs_direct_independent,full_K,interior,before,1.0000000000000002,0.0,1.586379556753421e-17,0.0
13,whole_forward_vs_reverse,input_128,interior,before,0.9999946385580785,1.0722855098094622e-05,0.007896665913877367,0.0023484860952913355
13,whole_forward_vs_reverse,embedded_200,interior,before,0.9970742304618307,0.00602190490257448,0.1179824074508251,0.05261836840191868
13,whole_forward_vs_reverse,heldout_72,interior,before,0.9892156527822533,0.02426894975629739,0.19635526034218537,0.1056236913658614
13,whole_forward_vs_reverse,extrapolated_outside_200,interior,before,0.9710031646964103,0.0750152991287887,0.49305252543328315,0.1651747564099515
13,whole_forward_vs_reverse,full_K,interior,before,0.9877231940540353,0.026961777443079614,0.43105168685910145,0.10103874528713107
13,whole_forward_vs_independent,input_128,interior,before,0.9999752571883627,4.948501106793188e-05,0.014926775398063793,0.005010846116718403
13,whole_forward_vs_independent,embedded_200,interior,before,0.9972541110502452,0.0058774968801737675,0.13551725361233388,0.05871313232196093
13,whole_forward_vs_independent,heldout_72,interior,before,0.9910910627346169,0.023568525557012623,0.2249835087006237,0.11762289400759718
13,whole_forward_vs_independent,extrapolated_outside_200,interior,before,0.9763866770459209,0.12279765023891971,0.319041929161338,0.31721997157201354
13,whole_forward_vs_independent,full_K,interior,before,0.9851017521902932,0.041363402976068074,0.2844855812319819,0.18150008677392981
13,whole_reverse_vs_independent,input_128,interior,before,0.9999779392887825,4.412093576007707e-05,0.009929681496213484,0.004871456846938731
13,whole_reverse_vs_independent,embedded_200,interior,before,0.995305261444423,0.009815265206368195,0.18183406365564253,0.06554638311801303
13,whole_reverse_vs_independent,heldout_72,interior,before,0.9840012881783219,0.038158735153282386,0.3027674374176851,0.1291897344995403
13,whole_reverse_vs_independent,extrapolated_outside_200,interior,before,0.9548565423497636,0.12384337060416337,0.517158098385445,0.23965047683036142
13,whole_reverse_vs_independent,full_K,interior,before,0.9786377020607525,0.04896427005255964,0.4570068716339156,0.1501312616459856
13,author_L4_forward_vs_reverse,input_128,interior,before,0.9999935869537813,1.2826051310199937e-05,0.007671208470854905,0.002541536735843877
13,author_L4_forward_vs_reverse,embedded_200,interior,before,0.9965302357218918,0.007327443968055167,0.1367784430433415,0.06446867441518561
13,author_L4_forward_vs_reverse,heldout_72,interior,before,0.9876622111400574,0.031168454292842263,0.2277344952652741,0.13297278725309683
13,author_L4_forward_vs_reverse,extrapolated_outside_200,interior,before,0.9546215504048722,0.16541732267066123,0.6938190738839405,0.3035880809830797
13,author_L4_forward_vs_reverse,full_K,interior,before,0.9800051634080595,0.048918335369121976,0.6047443807793643,0.16525764753702166
13,author_L4_forward_vs_independent,input_128,interior,before,0.9999701339493874,5.9731209244290536e-05,0.015252365493295584,0.005511924874431018
13,author_L4_forward_vs_independent,embedded_200,interior,before,0.9957090824655604,0.009472389572949158,0.1874168935047106,0.07721409012655733
13,author_L4_forward_vs_independent,heldout_72,interior,before,0.9869504138305835,0.04015167969951307,0.3116987763893645,0.1590452068784903
13,author_L4_forward_vs_independent,extrapolated_outside_200,interior,before,0.9526366828307093,0.2867172901098509,0.4288566243035597,0.49283566487747577
13,author_L4_forward_vs_independent,full_K,interior,before,0.9715759655424346,0.08241104095506177,0.3830401756337348,0.26132957542183527
13,author_L4_reverse_vs_independent,input_128,interior,before,0.9999779392876417,4.412093804164911e-05,0.009929689489776676,0.004871455909431916
13,author_L4_reverse_vs_independent,embedded_200,interior,before,0.9953052934954514,0.009815193271497599,0.1818333079819506,0.06554615553815159
13,author_L4_reverse_vs_independent,heldout_72,interior,before,0.984001385794637,0.03815842080897772,0.3027661762918812,0.12918922710143912
13,author_L4_reverse_vs_independent,extrapolated_outside_200,interior,before,0.9548563278155452,0.12384281235764356,0.5171715200874365,0.23964784568860417
13,author_L4_reverse_vs_independent,full_K,interior,before,0.9786376797344777,0.04896416005815592,0.45701818767427294,0.15012995446719338
14,wrapper_individual_vs_direct_independent,input_128,interior,before,1.0,0.0,1.8298641279865095e-17,0.0
14,wrapper_individual_vs_direct_independent,embedded_200,interior,before,1.0,0.0,1.7817762047398483e-17,0.0
14,wrapper_individual_vs_direct_independent,heldout_72,interior,before,1.0000000000000002,0.0,1.69291718850297e-17,0.0
14,wrapper_individual_vs_direct_independent,extrapolated_outside_200,interior,before,1.0,0.0,1.686773515739195e-17,0.0
14,wrapper_individual_vs_direct_independent,full_K,interior,before,1.0,0.0,1.7110187845239043e-17,0.0
14,whole_forward_vs_reverse,input_128,interior,before,0.9999979518691189,4.0962575671707855e-06,0.002228211876704827,0.001539931637842931
14,whole_forward_vs_reverse,embedded_200,interior,before,0.9987464531378372,0.002517565237233285,0.10893210862858185,0.03471910188317237
14,whole_forward_vs_reverse,heldout_72,interior,before,0.9946924768039687,0.010809833397188582,0.18152920438628206,0.07193344275591085
14,whole_forward_vs_reverse,extrapolated_outside_200,interior,before,0.9877846881299438,0.03251216144287814,0.4092337380765793,0.1298214670801718
14,whole_forward_vs_reverse,full_K,interior,before,0.9952327234612225,0.010195483482717649,0.35856762313079105,0.07218718855995537
14,whole_forward_vs_independent,input_128,interior,before,0.999981899695988,3.6200280403186075e-05,0.0064935681606516586,0.004411713449947576
14,whole_forward_vs_independent,embedded_200,interior,before,0.9961102196501157,0.008142631172025456,0.1479321708968461,0.06966888812005195
14,whole_forward_vs_independent,heldout_72,interior,before,0.9856477909429231,0.03488682388627446,0.24640155050401177,0.14423148605493724
14,whole_forward_vs_independent,extrapolated_outside_200,interior,before,0.9183637631888414,0.34340022541119297,0.6888664320727088,0.5077920663641664
14,whole_forward_vs_independent,full_K,interior,before,0.963189242924317,0.09396076928257177,0.6011436623004532,0.263847710962591
14,whole_reverse_vs_independent,input_128,interior,before,0.9999813449816457,3.730968869853514e-05,0.006643140289798918,0.004491911502546248
14,whole_reverse_vs_independent,embedded_200,interior,before,0.9964213945087023,0.0075594970339006255,0.17793100230748257,0.0638509177713753
14,whole_reverse_vs_independent,heldout_72,interior,before,0.9872146942716152,0.032430460960052136,0.29641936106864153,0.13224978362764
14,whole_reverse_vs_independent,extrapolated_outside_200,interior,before,0.92936355064382,0.2493918062264459,0.6306313405963009,0.4156473858815728
14,whole_reverse_vs_independent,full_K,interior,before,0.9691491381600078,0.07587110063423083,0.5533414643800445,0.22743456021630631
14,author_L4_forward_vs_reverse,input_128,interior,before,0.9999978946770685,4.2106414309982534e-06,0.002418504354445501,0.0015569720661557155
14,author_L4_forward_vs_reverse,embedded_200,interior,before,0.9986679461141025,0.002677343948130826,0.11205508005971913,0.03596769396992615
14,author_L4_forward_vs_reverse,heldout_72,interior,before,0.994413765830749,0.011417248019540928,0.18673062522335693,0.07426617946400868
14,author_L4_forward_vs_reverse,extrapolated_outside_200,interior,before,0.9868970228720128,0.03424554736966843,0.436824467479472,0.12850506419924462
14,author_L4_forward_vs_reverse,full_K,interior,before,0.9949295494816188,0.010784913019225656,0.38242750526516883,0.07212871303040612
14,author_L4_forward_vs_independent,input_128,interior,before,0.9999822438526198,3.551197947975715e-05,0.006393830071312327,0.004380468544130676
14,author_L4_forward_vs_independent,embedded_200,interior,before,0.9961180286897349,0.008084098096692569,0.15221938111449193,0.06906277563755954
14,author_L4_forward_vs_independent,heldout_72,interior,before,0.98550710174105,0.03439923561662701,0.2535556924719302,0.14248341899248262
14,author_L4_forward_vs_independent,extrapolated_outside_200,interior,before,0.9169300873532071,0.3433134486159086,0.7077397526499067,0.5029767534516617
14,author_L4_forward_vs_independent,full_K,interior,before,0.9628407762826074,0.09418006870674324,0.6176280054429472,0.26175989107751607
14,author_L4_reverse_vs_independent,input_128,interior,before,0.9999813449863897,3.7309679210994344e-05,0.006643135789508516,0.004491911888291929
14,author_L4_reverse_vs_independent,embedded_200,interior,before,0.9964214527040471,0.007559385691789251,0.177931680481605,0.06385039778385525
14,author_L4_reverse_vs_independent,heldout_72,interior,before,0.987214963045274,0.03243001617454965,0.2964204920426599,0.1322487731366754
14,author_L4_reverse_vs_independent,extrapolated_outside_200,interior,before,0.9293629784141366,0.2493902231434202,0.6306348125111881,0.4156440462526289
14,author_L4_reverse_vs_independent,full_K,interior,before,0.9691491010018737,0.07587094810813165,0.5533444865479533,0.22743330578777138
15,wrapper_individual_vs_direct_independent,input_128,interior,before,1.0000000000000002,0.0,1.59070867763285e-17,0.0
15,wrapper_individual_vs_direct_independent,embedded_200,interior,before,1.0,0.0,1.5461437307745e-17,0.0
15,wrapper_individual_vs_direct_independent,heldout_72,interior,before,1.0,0.0,1.463570419358428e-17,0.0
15,wrapper_individual_vs_direct_independent,extrapolated_outside_200,interior,before,0.9999999999999998,0.0,1.696726097168118e-17,0.0
15,wrapper_individual_vs_direct_independent,full_K,interior,before,1.0000000000000002,0.0,1.66036131479321e-17,0.0
15,whole_forward_vs_reverse,input_128,interior,before,0.9999965931186839,6.813751025084703e-06,0.00571475321724885,0.0019184919591930705
15,whole_forward_vs_reverse,embedded_200,interior,before,0.9977552026364745,0.004588373889438577,0.1304767682849876,0.04532122435812997
15,whole_forward_vs_reverse,heldout_72,interior,before,0.9924069643815437,0.016545336262635425,0.2173277458594159,0.08605216347613258
15,whole_forward_vs_reverse,extrapolated_outside_200,interior,before,0.965484526551986,0.07131541940312874,0.5323062217580631,0.1569510946423486
15,whole_forward_vs_reverse,full_K,interior,before,0.9845557852511496,0.03138262476630911,0.46558402255369735,0.1054555207038374
15,whole_forward_vs_independent,input_128,interior,before,0.9999750383859755,4.9922604966786235e-05,0.013864388899938492,0.004846895090350264
15,whole_forward_vs_independent,embedded_200,interior,before,0.9971257373695228,0.0059066424152439964,0.2311969873689917,0.054063390202913314
15,whole_forward_vs_independent,heldout_72,interior,before,0.990409618063461,0.021191518371513934,0.3848846340484297,0.10241874007652026
15,whole_forward_vs_independent,extrapolated_outside_200,interior,before,0.96640316395091,0.08973877235317201,0.584717907484021,0.21766496981427433
15,whole_forward_vs_independent,full_K,interior,before,0.9826357751099682,0.03956944141686325,0.5194076291714376,0.14413131201798926
15,whole_reverse_vs_independent,input_128,interior,before,0.9999758070129722,4.8385388755066914e-05,0.012099681156987372,0.004956401111707262
15,whole_reverse_vs_independent,embedded_200,interior,before,0.9964249901022751,0.00747130778497942,0.27108854203355476,0.062057034042550925
15,whole_reverse_vs_independent,heldout_72,interior,before,0.9880834149912476,0.028113244973109464,0.45152611638522916,0.12038261840850051
15,whole_reverse_vs_independent,extrapolated_outside_200,interior,before,0.9595824028663229,0.15406830487828888,0.5759140878782395,0.31356347379072547
15,whole_reverse_vs_independent,full_K,interior,before,0.9769991968905573,0.0601672083486269,0.5168462313570042,0.19444717925576518
15,author_L4_forward_vs_reverse,input_128,interior,before,0.9999965778983525,6.84419158409951e-06,0.005756323545316899,0.0019195872840085263
15,author_L4_forward_vs_reverse,embedded_200,interior,before,0.9977325601109982,0.004632058980942629,0.13244990551108263,0.04538491895427311
15,author_L4_forward_vs_reverse,heldout_72,interior,before,0.9923216922389863,0.01669332373484505,0.22061637709311763,0.0861483580044778
15,author_L4_forward_vs_reverse,extrapolated_outside_200,interior,before,0.9659270008357834,0.07049667988112798,0.5276209049397802,0.15566405641554196
15,author_L4_forward_vs_reverse,full_K,interior,before,0.9847154298714297,0.03107353141201631,0.46170727616594714,0.1046928035276007
15,author_L4_forward_vs_independent,input_128,interior,before,0.9999750467819907,4.990581335553973e-05,0.013868191585184191,0.004846608472088893
15,author_L4_forward_vs_independent,embedded_200,interior,before,0.9971547880901697,0.00584327385284409,0.2298370849236042,0.053787348067803914
15,author_L4_forward_vs_independent,heldout_72,interior,before,0.9904959035340812,0.020950755110111068,0.3826152567599014,0.10186345633050305
15,author_L4_forward_vs_independent,extrapolated_outside_200,interior,before,0.9683346054229826,0.08542568532944228,0.5605221271745744,0.21522877433280177
15,author_L4_forward_vs_independent,full_K,interior,before,0.9834738303239827,0.03779177838072653,0.49884372572056795,0.14257724496226895
15,author_L4_reverse_vs_independent,input_128,interior,before,0.999975806194193,4.8387026273648475e-05,0.0120998757734547,0.004956488544018561
15,author_L4_reverse_vs_independent,embedded_200,interior,before,0.9964248647148731,0.007471528973127148,0.27109173286923516,0.06205733721121364
15,author_L4_reverse_vs_independent,heldout_72,interior,before,0.98808286515778,0.028113928399456957,0.45153142856670325,0.12038288177066231
15,author_L4_reverse_vs_independent,extrapolated_outside_200,interior,before,0.9595858334590929,0.15405224644855575,0.5758741165786413,0.31354690204030555
15,author_L4_reverse_vs_independent,full_K,interior,before,0.9770008817559679,0.06016227794815219,0.5168132452989513,0.19443879572106496
16,wrapper_individual_vs_direct_independent,input_128,interior,before,1.0,2.560864713298725e-32,2.2682764683083582e-17,1.6074904525986917e-16
16,wrapper_individual_vs_direct_independent,embedded_200,interior,before,0.9999999999999999,2.578118306972519e-32,2.276438010127495e-17,1.6475440273352912e-16
16,wrapper_individual_vs_direct_independent,heldout_72,interior,before,1.0,2.636966287644268e-32,2.290875624974669e-17,1.7773808343105393e-16
16,wrapper_individual_vs_direct_independent,extrapolated_outside_200,interior,before,1.0000000000000002,2.6984586614975437e-32,2.294035524917757e-17,1.7354228731793863e-16
