line,comparison,region,position_class,side_of_strong_line,corr,nmse,phase_rmse_rad,amplitude_nrmse
3,whole_forward_vs_reverse,input_128,edge,before,0.9999967960857701,6.40781819503744e-06,0.0030831419510518967,0.0018625918235525114
3,whole_forward_vs_reverse,embedded_200,edge,before,0.9969612169986419,0.0060952103089171004,0.15968761202164214,0.05402333147752612
3,whole_forward_vs_reverse,heldout_72,edge,before,0.9874186578638768,0.02547871349726226,0.2661142702759929,0.11044677440046398
3,whole_forward_vs_reverse,extrapolated_outside_200,edge,before,0.9474276389597486,0.18039084716863546,0.4398076856796752,0.3492018665058072
3,whole_forward_vs_reverse,full_K,edge,before,0.9795893610274546,0.04625683832042182,0.3891633765470199,0.17419583624433133
3,whole_forward_vs_independent,input_128,edge,before,0.9999561145528633,8.776896834083024e-05,0.012870962306451218,0.007002973253668233
3,whole_forward_vs_independent,embedded_200,edge,before,0.9937113552911059,0.013730028155931077,0.2547599577706682,0.08477814330808933
3,whole_forward_vs_independent,heldout_72,edge,before,0.9802433917707414,0.05715971319856869,0.4242529794764374,0.17295043239586988
3,whole_forward_vs_independent,extrapolated_outside_200,edge,before,0.9312415603365928,0.414789279306523,0.5235366493466435,0.581461951388112
3,whole_forward_vs_independent,full_K,edge,before,0.9623305948706147,0.10614308418811721,0.4709497068983703,0.2888539093195486
3,whole_reverse_vs_independent,input_128,edge,before,0.9999588764063448,8.224549616042737e-05,0.012980631346949748,0.006728170247434554
3,whole_reverse_vs_independent,embedded_200,edge,before,0.9949711027097538,0.01110846753490549,0.23025326020463033,0.07753775812550867
3,whole_reverse_vs_independent,heldout_72,edge,before,0.9847939000216759,0.04659328894455996,0.38336494757010775,0.1587913753754097
3,whole_reverse_vs_independent,extrapolated_outside_200,edge,before,0.9582295356039127,0.13780734949487453,0.3213938089945396,0.2942473726598326
3,whole_reverse_vs_independent,full_K,edge,before,0.9798392954107233,0.05032192452668777,0.30120528930237805,0.17592167114376855
