super,K,line,region,n_bins,support_to_input_ratio,none_w3db_um,none_w10db_um,none_w20db_um,none_w40db_um,fixed100_w3db_um,fixed100_w10db_um,fixed100_w20db_um,fixed100_w40db_um,proportional12p5_w3db_um,proportional12p5_w10db_um,proportional12p5_w20db_um,proportional12p5_w40db_um,normalized_corr,normalized_nmse,normalized_phase_rmse_rad,normalized_amplitude_nrmse,source_restored_corr,source_restored_nmse,source_restored_phase_rmse_rad,source_restored_amplitude_nrmse,source_weighted_corr,source_weighted_nmse,source_weighted_phase_rmse_rad,source_weighted_amplitude_nrmse,signal_source_weighted_corr,signal_source_weighted_nmse,signal_source_weighted_phase_rmse_rad,signal_source_weighted_amplitude_nrmse
2,400,0,input_128,128,3.125,3.3802404711078236,5.650560324790081,12.617371115710743,72.0820906226,3.709315331193612,5.621846953190095,6.299999763279353,34.66879332287779,3.573119751338553,5.647839770795485,9.806254654726635,47.13510987875336,0.9999997310829368,5.378340540996978e-07,0.0004689611489148263,0.000567632541151823,0.9999997549483522,4.901032352846645e-07,0.00046896721654787185,0.0005324618221284884,0.9999997549483522,4.901032352846724e-07,0.00046203540175264327,0.0005324618221285077,0.9999997663622636,4.672754178831084e-07,0.0004545329576383024,0.0005165216551585997
2,400,0,heldout_all_72,72,3.125,3.3802404711078236,5.650560324790081,12.617371115710743,72.0820906226,3.709315331193612,5.621846953190095,6.299999763279353,34.66879332287779,3.573119751338553,5.647839770795485,9.806254654726635,47.13510987875336,0.966287966724471,0.06628756536348736,0.09731818756042605,0.24478623519985307,0.9818010539733899,0.03606669041674041,0.09822706688400809,0.17981590421437263,0.9818010539733901,0.036066690416740425,0.07107901977820791,0.17981590421437266,0.9899435485498814,0.020011770684468785,0.057831164388693804,0.1310922609499628
2,400,0,heldout_near_16,16,3.125,3.3802404711078236,5.650560324790081,12.617371115710743,72.0820906226,3.709315331193612,5.621846953190095,6.299999763279353,34.66879332287779,3.573119751338553,5.647839770795485,9.806254654726635,47.13510987875336,0.9968715151776327,0.0062471822274509595,0.031571020614363614,0.07257752051096966,0.9973738004697268,0.005245502136573476,0.031582185144760605,0.06558449469795086,0.9973738004697268,0.005245502136573476,0.03091531649338906,0.06558449469795087,0.9975435394628304,0.004906886875968734,0.03061082091472216,0.06308522793765009
2,400,0,heldout_far_56,56,3.125,3.3802404711078236,5.650560324790081,12.617371115710743,72.0820906226,3.709315331193612,5.621846953190095,6.299999763279353,34.66879332287779,3.573119751338553,5.647839770795485,9.806254654726635,47.13510987875336,0.9625316250505732,0.07353287077750244,0.10459894486549355,0.2570868256037916,0.9753338205273933,0.048723938535438625,0.10471008006518846,0.21106414842942414,0.9753338205273933,0.04872393853543863,0.07782471139987224,0.21106414842942414,0.9859818882204415,0.027839716101252666,0.0545928082718366,0.16003019375656094
2,400,0,heldout_source_ge_5pct,23,3.125,3.3802404711078236,5.650560324790081,12.617371115710743,72.0820906226,3.709315331193612,5.621846953190095,6.299999763279353,34.66879332287779,3.573119751338553,5.647839770795485,9.806254654726635,47.13510987875336,0.997368983624783,0.0052551105032672,0.04670481446322207,0.055581100856029374,0.9973933120713069,0.005206581035428281,0.047132318246241194,0.05678415000981741,0.9973933120713071,0.005206581035428283,0.04463797059002648,0.05678415000981744,0.9974092106216542,0.005174866567088256,0.04435598978753279,0.05672636307942105
2,400,0,heldout_source_lt_5pct,49,3.125,3.3802404711078236,5.650560324790081,12.617371115710743,72.0820906226,3.709315331193612,5.621846953190095,6.299999763279353,34.66879332287779,3.573119751338553,5.647839770795485,9.806254654726635,47.13510987875336,0.9601549618091094,0.07810244931334749,0.11215569373015359,0.2628454312554531,0.9698178852405493,0.05945326946754868,0.11205609196238774,0.2307958418056038,0.9698178852405495,0.05945326946754866,0.09065017465410428,0.23079584180560375,0.9795210349017116,0.040538542185079726,0.07001723530432787,0.19083483362068554
2,400,0,heldout_left,23,3.125,3.3802404711078236,5.650560324790081,12.617371115710743,72.0820906226,3.709315331193612,5.621846953190095,6.299999763279353,34.66879332287779,3.573119751338553,5.647839770795485,9.806254654726635,47.13510987875336,0.9430280965555132,0.11069800910688572,0.07874298414317688,0.3263426183534887,0.9587848959004227,0.08073152339321615,0.0812609291960072,0.28043589892555515,0.9587848959004226,0.08073152339321617,0.05499841709408907,0.2804358989255551,0.975950693370284,0.047520244110061824,0.039579289896162294,0.21513464667839227
2,400,0,heldout_right,49,3.125,3.3802404711078236,5.650560324790081,12.617371115710743,72.0820906226,3.709315331193612,5.621846953190095,6.299999763279353,34.66879332287779,3.573119751338553,5.647839770795485,9.806254654726635,47.13510987875336,0.9938797346775823,0.012203072997218843,0.07783531830595573,0.09022348064918785,0.9955879734822739,0.008804587057459064,0.08397997640589443,0.07600190704873692,0.9955879734822738,0.008804587057459066,0.06293523141810359,0.07600190704873694,0.9965013253504367,0.006985108574823229,0.0536237960550237,0.06693523629745167
2,400,0,common_input_128,128,3.125,3.3802404711078236,5.650560324790081,12.617371115710743,72.0820906226,3.709315331193612,5.621846953190095,6.299999763279353,34.66879332287779,3.573119751338553,5.647839770795485,9.806254654726635,47.13510987875336,0.9999997310829368,5.378340540996978e-07,0.0004689611489148263,0.000567632541151823,0.9999997549483522,4.901032352846645e-07,0.00046896721654787185,0.0005324618221284884,0.9999997549483522,4.901032352846724e-07,0.00046203540175264327,0.0005324618221285077,0.9999997663622636,4.672754178831084e-07,0.0004545329576383024,0.0005165216551585997
2,400,0,common_heldout_all_72,72,3.125,3.3802404711078236,5.650560324790081,12.617371115710743,72.0820906226,3.709315331193612,5.621846953190095,6.299999763279353,34.66879332287779,3.573119751338553,5.647839770795485,9.806254654726635,47.13510987875336,0.966287966724471,0.06628756536348736,0.09731818756042605,0.24478623519985307,0.9818010539733899,0.03606669041674041,0.09822706688400809,0.17981590421437263,0.9818010539733901,0.036066690416740425,0.07107901977820791,0.17981590421437266,0.9899435485498814,0.020011770684468785,0.057831164388693804,0.1310922609499628
2,400,0,common_heldout_near_16,16,3.125,3.3802404711078236,5.650560324790081,12.617371115710743,72.0820906226,3.709315331193612,5.621846953190095,6.299999763279353,34.66879332287779,3.573119751338553,5.647839770795485,9.806254654726635,47.13510987875336,0.9968715151776327,0.0062471822274509595,0.031571020614363614,0.07257752051096966,0.9973738004697268,0.005245502136573476,0.031582185144760605,0.06558449469795086,0.9973738004697268,0.005245502136573476,0.03091531649338906,0.06558449469795087,0.9975435394628304,0.004906886875968734,0.03061082091472216,0.06308522793765009
2,400,0,common_heldout_far_56,56,3.125,3.3802404711078236,5.650560324790081,12.617371115710743,72.0820906226,3.709315331193612,5.621846953190095,6.299999763279353,34.66879332287779,3.573119751338553,5.647839770795485,9.806254654726635,47.13510987875336,0.9625316250505732,0.07353287077750244,0.10459894486549355,0.2570868256037916,0.9753338205273933,0.048723938535438625,0.10471008006518846,0.21106414842942414,0.9753338205273933,0.04872393853543863,0.07782471139987224,0.21106414842942414,0.9859818882204415,0.027839716101252666,0.0545928082718366,0.16003019375656094
2,400,0,common_heldout_source_ge_5pct,23,3.125,3.3802404711078236,5.650560324790081,12.617371115710743,72.0820906226,3.709315331193612,5.621846953190095,6.299999763279353,34.66879332287779,3.573119751338553,5.647839770795485,9.806254654726635,47.13510987875336,0.997368983624783,0.0052551105032672,0.04670481446322207,0.055581100856029374,0.9973933120713069,0.005206581035428281,0.047132318246241194,0.05678415000981741,0.9973933120713071,0.005206581035428283,0.04463797059002648,0.05678415000981744,0.9974092106216542,0.005174866567088256,0.04435598978753279,0.05672636307942105
